Cap_Shape,Cap_Surface,Cap_Colour,Bruises,Odour,Gill_Attachment,Gill_Spacing,Gill_Size,Gill_Colour,Stalk_Shape,Stalk_Root,Stalk_Surface_Above_Ring,Stalk_Surface_Below_Ring,Stalk_Colour_Above_Ring,Stalk_Colour_Below_Ring,Veil_Type,Veil_Colour,Ring_Number,Ring_Type,Spore_Print_Colour,Population,Habitat,Class
Convex,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Poisonous
Flat,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Urban,Poisonous
Flat,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Convex,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Scaly,Gray,Bruises,No Odour,Free,Closed,Broad,Brown,Tapering,Bulbous,Smooth,Smooth,Gray,Pink,Partial,White,1,Pendant,Brown,Solitary,Woods,Edible
Convex,Fibrous,Brown,Bruises,No Odour,Free,Closed,Broad,Brown,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Grasses,Poisonous
Flat,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Poisonous
Convex,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Smooth,Brown,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Poisonous
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Smooth,Brown,Bruises,Pungent,Free,Closed,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Grasses,Poisonous
Flat,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Grasses,Poisonous
Flat,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Grasses,Poisonous
Flat,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Poisonous
Convex,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Convex,Fibrous,Brown,Bruises,No Odour,Free,Closed,Broad,Pink,Tapering,Bulbous,Smooth,Smooth,Gray,Pink,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Urban,Poisonous
Convex,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Convex,Scaly,Red,Bruises,No Odour,Free,Closed,Broad,Brown,Tapering,Bulbous,Smooth,Smooth,Pink,White,Partial,White,1,Pendant,Brown,Solitary,Woods,Edible
Flat,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Convex,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Flat,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Poisonous
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Flat,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Urban,Poisonous
Convex,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Convex,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Bell,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Meadows,Edible
Convex,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Convex,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Convex,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Convex,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Urban,Poisonous
Flat,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Convex,Fibrous,Brown,Bruises,No Odour,Free,Closed,Broad,Pink,Tapering,Bulbous,Smooth,Smooth,White,Gray,Partial,White,1,Pendant,Black,Solitary,Woods,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Convex,Fibrous,Brown,Bruises,No Odour,Free,Closed,Broad,Brown,Tapering,Bulbous,Smooth,Smooth,Gray,Gray,Partial,White,1,Pendant,Black,Several,Woods,Edible
Convex,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Grasses,Poisonous
Flat,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Grasses,Poisonous
Convex,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Fibrous,Brown,Bruises,No Odour,Free,Closed,Broad,Purple,Tapering,Bulbous,Smooth,Smooth,Gray,Pink,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Convex,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Scattered,Paths,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Convex,Fibrous,Brown,Bruises,No Odour,Free,Closed,Broad,Brown,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Solitary,Woods,Edible
Flat,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Flat,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Poisonous
Convex,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Bell,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Grasses,Edible
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Flat,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Convex,Fibrous,Brown,Bruises,No Odour,Free,Closed,Broad,Brown,Tapering,Bulbous,Smooth,Smooth,White,Gray,Partial,White,1,Pendant,Black,Solitary,Woods,Edible
Bell,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Meadows,Edible
Convex,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Flat,Fibrous,Brown,Bruises,No Odour,Free,Closed,Broad,Brown,Tapering,Bulbous,Smooth,Smooth,White,Pink,Partial,White,1,Pendant,Brown,Solitary,Woods,Edible
Convex,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Poisonous
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Flat,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Urban,Poisonous
Convex,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Bell,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Grasses,Edible
Flat,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Convex,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Smooth,Brown,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Grasses,Poisonous
Flat,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Convex,Fibrous,Brown,Bruises,No Odour,Free,Closed,Broad,Brown,Tapering,Bulbous,Smooth,Smooth,Pink,Gray,Partial,White,1,Pendant,Black,Solitary,Woods,Edible
Convex,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Fibrous,Red,Bruises,No Odour,Free,Closed,Broad,Purple,Tapering,Bulbous,Smooth,Smooth,White,Pink,Partial,White,1,Pendant,Brown,Solitary,Woods,Edible
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Grasses,Edible
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Convex,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Urban,Poisonous
Flat,Fibrous,Gray,Bruises,No Odour,Free,Closed,Broad,Brown,Tapering,Bulbous,Smooth,Smooth,White,Gray,Partial,White,1,Pendant,Brown,Solitary,Woods,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Grasses,Poisonous
Convex,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Convex,Fibrous,Brown,Bruises,No Odour,Free,Closed,Broad,Pink,Tapering,Bulbous,Smooth,Smooth,Gray,White,Partial,White,1,Pendant,Brown,Solitary,Woods,Edible
Convex,Scaly,Gray,Bruises,No Odour,Free,Closed,Broad,Purple,Tapering,Bulbous,Smooth,Smooth,White,Pink,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Convex,Scaly,Gray,Bruises,No Odour,Free,Closed,Broad,Pink,Tapering,Bulbous,Smooth,Smooth,White,Gray,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Flat,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Flat,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Convex,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Urban,Poisonous
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Convex,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Convex,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Fibrous,Gray,Bruises,No Odour,Free,Closed,Broad,Brown,Tapering,Bulbous,Smooth,Smooth,Gray,Gray,Partial,White,1,Pendant,Black,Several,Woods,Edible
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Convex,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Convex,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Bell,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Edible
Convex,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Poisonous
Flat,Smooth,Brown,Bruises,Pungent,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Grasses,Poisonous
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Flat,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Poisonous
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Convex,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Urban,Poisonous
Flat,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Flat,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Urban,Poisonous
Flat,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Convex,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Flat,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
